id_laptop,marca,modelo,precio_soles,stock,tienda,categoria
120,MSI,Katana 15,5309.0,3,San Miguel,Gaming
121,Acer,Aspire 5,2131.0,19,Chiclayo,Oficina
122,HP,15-fd,2480.0,14,Miraflores,Oficina
123,MSI,Modern 15,3373.0,15,San Isidro,Profesional
124,MSI,Katana 15,5734.0,5,Arequipa,Premium
125,Dell,Vostro 3520,2902.0,15,Piura,Profesional
126,Lenovo,ThinkPad E14,3372.0,10,Surco,Profesional
127,MSI,Modern 15,3494.0,11,Centro de Lima,Profesional
128,ASUS,Vivobook 15,2633.0,6,Centro de Lima,Profesional
129,ASUS,Vivobook 15,2602.0,56,Arequipa,Profesional
130,HP,Pavilion 15,2998.0,14,Chiclayo,Profesional
131,ASUS,Zenbook 14,4511.0,34,Los Olivos,Gaming
132,ASUS,Zenbook 14,4520.0,42,Arequipa,Gaming
133,Lenovo,ThinkPad E14,3234.0,59,Trujillo,Profesional
134,Lenovo,ThinkPad E14,3407.0,12,Miraflores,Profesional
135,ASUS,Zenbook 14,4791.0,59,Piura,Gaming
136,HP,Pavilion 15,3245.0,45,Miraflores,Profesional
137,MSI,Katana 15,5592.0,35,Miraflores,Premium
138,MSI,Katana 15,5364.0,34,Los Olivos,Gaming
139,Dell,Inspiron 15,3302.0,8,Chiclayo,Profesional
140,HP,15-fd,2504.0,9,Los Olivos,Profesional
141,Lenovo,IdeaPad Slim 3,3053.0,29,Miraflores,Profesional
142,Dell,Inspiron 15,3322.0,41,Miraflores,Profesional
143,ASUS,Vivobook 15,2954.0,39,Centro de Lima,Profesional
144,Apple,MacBook Air M3,5777.0,44,Piura,Premium
145,Dell,Inspiron 15,3306.0,20,Trujillo,Profesional
146,HP,15-fd,2266.0,29,San Isidro,Oficina
147,MSI,Modern 15,3191.0,4,San Isidro,Profesional
148,Apple,MacBook Air M3,6242.0,46,San Miguel,Premium
149,Dell,Vostro 3520,3057.0,14,Los Olivos,Profesional
150,Apple,MacBook Air M3,5890.0,59,San Isidro,Premium
151,MSI,Modern 15,3277.0,31,Los Olivos,Profesional
152,Lenovo,IdeaPad Slim 3,2877.0,34,Miraflores,Profesional
153,ASUS,Zenbook 14,4804.0,47,Trujillo,Gaming
154,Lenovo,IdeaPad Slim 3,3127.0,29,Surco,Profesional
155,MSI,Modern 15,3663.0,58,San Isidro,Profesional
156,Dell,Inspiron 15,2861.0,12,San Miguel,Profesional
157,Acer,Aspire 5,2447.0,45,Chiclayo,Oficina
158,ASUS,Zenbook 14,4594.0,43,Centro de Lima,Gaming
159,Lenovo,IdeaPad Slim 3,2302.0,4,San Isidro,Oficina
160,Apple,MacBook Air M3,5779.0,14,Arequipa,Premium
161,ASUS,Zenbook 14,4637.0,20,Los Olivos,Gaming
162,HP,Pavilion 15,3736.0,42,San Miguel,Profesional
163,HP,Pavilion 15,3679.0,19,Chiclayo,Profesional
164,MSI,Modern 15,2947.0,57,San Miguel,Profesional
165,MSI,Modern 15,3215.0,18,Piura,Profesional
166,HP,15-fd,2581.0,44,Miraflores,Profesional
167,Dell,Inspiron 15,2727.0,58,Piura,Profesional
168,Dell,Inspiron 15,3463.0,42,Los Olivos,Profesional
169,Apple,MacBook Air M2,5341.0,14,San Isidro,Gaming
170,MSI,Modern 15,2945.0,6,Trujillo,Profesional
171,ASUS,Zenbook 14,5008.0,6,Surco,Gaming
172,HP,Pavilion 15,3284.0,1,Piura,Profesional
173,ASUS,Zenbook 14,4567.0,3,Arequipa,Gaming
174,HP,Pavilion 15,3314.0,57,Piura,Profesional
175,HP,Pavilion 15,3590.0,23,San Isidro,Profesional
176,MSI,Modern 15,3618.0,41,Trujillo,Profesional
177,MSI,Modern 15,2907.0,3,San Miguel,Profesional
178,Apple,MacBook Air M2,5425.0,54,Los Olivos,Gaming
179,Apple,MacBook Air M2,5048.0,53,Piura,Gaming
180,Apple,MacBook Air M2,4744.0,17,San Miguel,Gaming
181,Apple,MacBook Air M2,5039.0,54,Centro de Lima,Gaming
182,ASUS,Zenbook 14,4878.0,57,Centro de Lima,Gaming
183,Acer,Nitro V 15,3868.0,10,Miraflores,Profesional
184,MSI,Modern 15,3125.0,1,Surco,Profesional
185,MSI,Katana 15,5495.0,9,Piura,Gaming
186,HP,Pavilion 15,3217.0,38,Miraflores,Profesional
187,Dell,Vostro 3520,2552.0,1,Arequipa,Profesional
188,Dell,Inspiron 15,3334.0,14,Los Olivos,Profesional
189,Dell,Vostro 3520,2449.0,32,Surco,Oficina
190,Dell,Vostro 3520,2941.0,47,Surco,Profesional
191,Acer,Nitro V 15,3981.0,26,Trujillo,Profesional
192,Dell,Vostro 3520,3187.0,34,Chiclayo,Profesional
193,Dell,Inspiron 15,3470.0,50,Piura,Profesional
194,Apple,MacBook Air M2,5364.0,60,Arequipa,Gaming
195,ASUS,Vivobook 15,2741.0,33,Surco,Profesional
196,Apple,MacBook Air M3,6096.0,18,Miraflores,Premium
197,Lenovo,ThinkPad E14,3553.0,25,San Isidro,Profesional
198,MSI,Katana 15,5464.0,57,Centro de Lima,Gaming
199,ASUS,Vivobook 15,2448.0,38,Surco,Oficina
200,Dell,Vostro 3520,2794.0,42,Arequipa,Profesional
201,MSI,Katana 15,5167.0,45,Piura,Gaming
202,Apple,MacBook Air M2,5069.0,1,San Isidro,Gaming
203,MSI,Katana 15,5532.0,14,Centro de Lima,Premium
204,Acer,Nitro V 15,4391.0,47,Los Olivos,Gaming
205,MSI,Modern 15,3338.0,35,Trujillo,Profesional
206,ASUS,Zenbook 14,4534.0,47,Arequipa,Gaming
207,Dell,Vostro 3520,2434.0,15,Trujillo,Oficina
208,Lenovo,ThinkPad E14,3932.0,29,Surco,Profesional
209,HP,15-fd,2191.0,43,Chiclayo,Oficina
210,Acer,Nitro V 15,3889.0,4,Trujillo,Profesional
211,MSI,Katana 15,5186.0,32,San Miguel,Gaming
212,Dell,Vostro 3520,2782.0,59,Arequipa,Profesional
213,HP,15-fd,1938.0,49,Arequipa,Oficina
214,HP,15-fd,2007.0,14,Arequipa,Oficina
215,Apple,MacBook Air M3,6137.0,46,San Isidro,Premium
216,Dell,Vostro 3520,2868.0,11,Centro de Lima,Profesional
217,Lenovo,IdeaPad Slim 3,2475.0,21,Surco,Oficina
218,HP,Pavilion 15,3624.0,22,Surco,Profesional
219,Acer,Aspire 5,2382.0,44,San Miguel,Oficina
220,MSI,Katana 15,5514.0,2,Arequipa,Premium
221,Dell,Inspiron 15,3248.0,31,Piura,Profesional
222,Apple,MacBook Air M2,4672.0,26,Piura,Gaming
223,HP,Pavilion 15,3567.0,16,San Miguel,Profesional
224,Acer,Aspire 5,2759.0,26,Miraflores,Profesional
225,Apple,MacBook Air M3,5957.0,18,San Miguel,Premium
226,Dell,Vostro 3520,3018.0,34,Surco,Profesional
227,MSI,Modern 15,3322.0,18,Arequipa,Profesional
228,Lenovo,IdeaPad Slim 3,2870.0,16,Centro de Lima,Profesional
229,Acer,Nitro V 15,4401.0,4,San Miguel,Gaming
230,Acer,Nitro V 15,4069.0,27,Miraflores,Gaming
231,Dell,Inspiron 15,3091.0,30,Centro de Lima,Profesional
232,Dell,Vostro 3520,3056.0,47,Surco,Profesional
233,HP,Pavilion 15,3301.0,51,Trujillo,Profesional
234,Lenovo,ThinkPad E14,3128.0,5,San Isidro,Profesional
235,ASUS,Zenbook 14,4270.0,15,Chiclayo,Gaming
236,Dell,Vostro 3520,3056.0,41,Los Olivos,Profesional
237,HP,15-fd,1859.0,8,Arequipa,Oficina
238,Apple,MacBook Air M2,4893.0,15,Trujillo,Gaming
239,Lenovo,ThinkPad E14,3163.0,58,Chiclayo,Profesional
240,HP,15-fd,1831.0,30,Piura,Oficina
241,Lenovo,IdeaPad Slim 3,2538.0,53,San Miguel,Profesional
242,Acer,Aspire 5,2143.0,27,Trujillo,Oficina
243,HP,Pavilion 15,3432.0,19,Piura,Profesional
244,HP,Pavilion 15,3691.0,56,Arequipa,Profesional
245,Dell,Inspiron 15,3073.0,50,Chiclayo,Profesional
246,Lenovo,IdeaPad Slim 3,2926.0,22,Trujillo,Profesional
247,Dell,Inspiron 15,2708.0,12,San Miguel,Profesional
248,Lenovo,IdeaPad Slim 3,2457.0,50,San Miguel,Oficina
249,Dell,Inspiron 15,2713.0,54,Centro de Lima,Profesional
250,ASUS,Vivobook 15,2903.0,54,Piura,Profesional
251,Apple,MacBook Air M3,6359.0,60,Los Olivos,Premium
252,HP,Pavilion 15,3299.0,40,Los Olivos,Profesional
253,Dell,Vostro 3520,2808.0,7,Chiclayo,Profesional
254,Acer,Aspire 5,2363.0,5,Arequipa,Oficina
255,MSI,Modern 15,3089.0,8,Piura,Profesional
256,HP,15-fd,1964.0,35,San Isidro,Oficina
257,Dell,Vostro 3520,2964.0,50,San Miguel,Profesional
258,Dell,Inspiron 15,2911.0,54,Arequipa,Profesional
259,Acer,Nitro V 15,4170.0,30,San Miguel,Gaming
260,MSI,Katana 15,5288.0,44,Miraflores,Gaming
261,Acer,Aspire 5,2268.0,9,Trujillo,Oficina
262,Lenovo,IdeaPad Slim 3,2653.0,56,Piura,Profesional
263,ASUS,Vivobook 15,3085.0,23,Piura,Profesional
264,Apple,MacBook Air M2,4872.0,39,Piura,Gaming
265,Dell,Vostro 3520,3196.0,18,Miraflores,Profesional
266,MSI,Modern 15,3122.0,20,Los Olivos,Profesional
267,MSI,Katana 15,5298.0,23,Trujillo,Gaming
268,HP,15-fd,2554.0,60,Surco,Profesional
269,HP,Pavilion 15,3554.0,8,San Isidro,Profesional
270,Lenovo,ThinkPad E14,3277.0,1,Los Olivos,Profesional
271,HP,15-fd,2377.0,2,San Miguel,Oficina
272,MSI,Katana 15,5223.0,21,Arequipa,Gaming
273,Dell,Vostro 3520,2454.0,13,Miraflores,Oficina
274,Acer,Aspire 5,2960.0,47,San Isidro,Profesional
275,MSI,Modern 15,3111.0,31,Centro de Lima,Profesional
276,Acer,Aspire 5,2959.0,9,Miraflores,Profesional
277,Acer,Aspire 5,2854.0,50,Surco,Profesional
278,Apple,MacBook Air M2,4601.0,49,Piura,Gaming
279,HP,Pavilion 15,3506.0,28,Trujillo,Profesional
280,Dell,Inspiron 15,2629.0,49,Miraflores,Profesional
281,Dell,Vostro 3520,3217.0,12,Los Olivos,Profesional
282,HP,15-fd,2359.0,1,Centro de Lima,Oficina
283,Apple,MacBook Air M3,5852.0,20,Trujillo,Premium
284,Dell,Vostro 3520,2936.0,45,San Isidro,Profesional
285,HP,15-fd,2138.0,53,Piura,Oficina
286,MSI,Modern 15,3019.0,37,San Isidro,Profesional
287,ASUS,Zenbook 14,4245.0,39,Los Olivos,Gaming
288,ASUS,Vivobook 15,3026.0,52,Surco,Profesional
289,ASUS,Zenbook 14,4684.0,56,Centro de Lima,Gaming
290,Acer,Aspire 5,2806.0,53,San Miguel,Profesional
291,Apple,MacBook Air M3,6435.0,12,Piura,Premium
292,HP,Pavilion 15,2918.0,46,Piura,Profesional
293,Lenovo,ThinkPad E14,3314.0,6,Piura,Profesional
294,HP,Pavilion 15,3344.0,46,Los Olivos,Profesional
295,ASUS,Vivobook 15,2458.0,17,Surco,Oficina
296,Lenovo,ThinkPad E14,3219.0,26,Los Olivos,Profesional
297,MSI,Katana 15,5219.0,54,Piura,Gaming
298,ASUS,Vivobook 15,2461.0,45,San Isidro,Oficina
299,Apple,MacBook Air M2,5022.0,15,Los Olivos,Gaming
300,MSI,Katana 15,5693.0,1,San Isidro,Premium
301,Dell,Inspiron 15,2795.0,56,Centro de Lima,Profesional
302,ASUS,Vivobook 15,2639.0,10,San Miguel,Profesional
303,Lenovo,ThinkPad E14,3633.0,31,Trujillo,Profesional
304,Dell,Vostro 3520,2996.0,1,San Miguel,Profesional
305,HP,Pavilion 15,3000.0,9,Piura,Profesional
306,Apple,MacBook Air M3,6215.0,33,Trujillo,Premium
307,Acer,Aspire 5,2744.0,52,Chiclayo,Profesional
308,HP,15-fd,2252.0,10,Surco,Oficina
309,Dell,Inspiron 15,3429.0,49,Los Olivos,Profesional
310,MSI,Katana 15,5294.0,35,San Miguel,Gaming
311,Acer,Nitro V 15,4218.0,27,Miraflores,Gaming
312,ASUS,Zenbook 14,4722.0,23,Arequipa,Gaming
313,Apple,MacBook Air M2,4852.0,1,Arequipa,Gaming
314,MSI,Modern 15,3113.0,2,San Isidro,Profesional
315,ASUS,Zenbook 14,5052.0,18,Los Olivos,Gaming
316,HP,15-fd,2400.0,4,Piura,Oficina
317,MSI,Modern 15,3502.0,42,San Miguel,Profesional
318,Apple,MacBook Air M3,5720.0,23,Centro de Lima,Premium
319,MSI,Modern 15,3675.0,31,Centro de Lima,Profesional
320,MSI,Katana 15,5139.0,21,Los Olivos,Gaming
321,Dell,Inspiron 15,3042.0,56,Miraflores,Profesional
322,Apple,MacBook Air M2,4624.0,13,Miraflores,Gaming
323,ASUS,Vivobook 15,2522.0,4,Arequipa,Profesional
324,ASUS,Zenbook 14,4431.0,10,Arequipa,Gaming
325,Acer,Nitro V 15,3802.0,17,Trujillo,Profesional
326,Dell,Inspiron 15,3400.0,36,Chiclayo,Profesional
327,MSI,Modern 15,3551.0,11,Centro de Lima,Profesional
328,Acer,Aspire 5,2261.0,10,Surco,Oficina
329,Apple,MacBook Air M3,5744.0,45,Arequipa,Premium
330,ASUS,Vivobook 15,2256.0,5,Surco,Oficina
331,Apple,MacBook Air M2,5083.0,30,Trujillo,Gaming
332,MSI,Modern 15,3023.0,4,Centro de Lima,Profesional
333,Dell,Vostro 3520,2587.0,48,Piura,Profesional
334,Acer,Nitro V 15,4055.0,22,San Miguel,Gaming
335,Acer,Nitro V 15,4247.0,51,Chiclayo,Gaming
336,Acer,Nitro V 15,4255.0,10,Los Olivos,Gaming
337,Apple,MacBook Air M2,4726.0,40,Centro de Lima,Gaming
338,Dell,Vostro 3520,2657.0,56,Los Olivos,Profesional
339,MSI,Katana 15,4948.0,10,Trujillo,Gaming
340,MSI,Katana 15,5498.0,29,Miraflores,Gaming
341,Lenovo,ThinkPad E14,3556.0,3,Arequipa,Profesional
342,ASUS,Zenbook 14,4354.0,21,Arequipa,Gaming
343,Apple,MacBook Air M3,6052.0,55,Piura,Premium
344,Acer,Nitro V 15,4307.0,3,San Isidro,Gaming
345,ASUS,Zenbook 14,4603.0,43,Centro de Lima,Gaming
346,MSI,Modern 15,3482.0,19,Surco,Profesional
347,ASUS,Zenbook 14,4716.0,43,Centro de Lima,Gaming
348,ASUS,Vivobook 15,2538.0,59,Centro de Lima,Profesional
349,HP,Pavilion 15,3193.0,2,Chiclayo,Profesional
350,Apple,MacBook Air M2,4838.0,8,Miraflores,Gaming
351,Apple,MacBook Air M2,5306.0,7,Centro de Lima,Gaming
352,Acer,Aspire 5,2797.0,13,San Isidro,Profesional
353,Lenovo,IdeaPad Slim 3,2736.0,8,Chiclayo,Profesional
354,Acer,Nitro V 15,3721.0,57,San Isidro,Profesional
355,HP,Pavilion 15,3607.0,33,Piura,Profesional
356,Lenovo,ThinkPad E14,3185.0,55,Los Olivos,Profesional
357,Dell,Vostro 3520,2456.0,41,Trujillo,Oficina
358,MSI,Modern 15,2826.0,42,Surco,Profesional
359,ASUS,Zenbook 14,4965.0,38,Centro de Lima,Gaming
360,MSI,Katana 15,5418.0,53,Surco,Gaming
361,Acer,Aspire 5,2331.0,48,Piura,Oficina
362,Lenovo,IdeaPad Slim 3,3141.0,42,Trujillo,Profesional
363,ASUS,Vivobook 15,2538.0,37,Los Olivos,Profesional
364,MSI,Katana 15,5249.0,5,San Isidro,Gaming
365,ASUS,Zenbook 14,4527.0,23,Surco,Gaming
366,HP,15-fd,2497.0,18,Trujillo,Oficina
367,Dell,Inspiron 15,3442.0,56,San Isidro,Profesional
368,Lenovo,ThinkPad E14,3704.0,22,Trujillo,Profesional
369,HP,Pavilion 15,3633.0,41,Centro de Lima,Profesional
370,Dell,Inspiron 15,3207.0,4,Trujillo,Profesional
371,Lenovo,IdeaPad Slim 3,2404.0,41,San Miguel,Oficina
372,MSI,Katana 15,5570.0,14,San Isidro,Premium
373,HP,15-fd,1858.0,13,San Miguel,Oficina
374,HP,Pavilion 15,3311.0,4,San Miguel,Profesional
375,Acer,Aspire 5,2662.0,35,Centro de Lima,Profesional
376,Apple,MacBook Air M3,6194.0,50,Surco,Premium
377,HP,Pavilion 15,3345.0,33,Chiclayo,Profesional
378,Acer,Aspire 5,2609.0,30,Los Olivos,Profesional
379,Acer,Aspire 5,2415.0,21,Centro de Lima,Oficina
380,Acer,Aspire 5,2199.0,48,San Isidro,Oficina
381,Lenovo,ThinkPad E14,3544.0,26,Surco,Profesional
382,ASUS,Vivobook 15,2315.0,44,Piura,Oficina
383,Apple,MacBook Air M2,5043.0,43,Centro de Lima,Gaming
384,Dell,Vostro 3520,2700.0,7,San Isidro,Profesional
385,Acer,Aspire 5,2470.0,35,Miraflores,Oficina
386,ASUS,Zenbook 14,4572.0,37,Centro de Lima,Gaming
387,Apple,MacBook Air M2,4946.0,30,Miraflores,Gaming
388,Dell,Inspiron 15,3215.0,53,Centro de Lima,Profesional
389,Apple,MacBook Air M3,5769.0,27,Piura,Premium
390,Apple,MacBook Air M2,5408.0,46,Surco,Gaming
391,MSI,Katana 15,5454.0,15,Chiclayo,Gaming
392,Acer,Nitro V 15,4320.0,2,Chiclayo,Gaming
393,ASUS,Zenbook 14,4400.0,11,San Miguel,Gaming
394,HP,Pavilion 15,2975.0,7,Centro de Lima,Profesional
395,Lenovo,IdeaPad Slim 3,2358.0,41,Arequipa,Oficina
396,HP,15-fd,2463.0,9,San Isidro,Oficina
397,HP,Pavilion 15,3014.0,29,San Miguel,Profesional
398,HP,15-fd,2548.0,58,Trujillo,Profesional
399,Dell,Inspiron 15,2619.0,58,San Miguel,Profesional
400,Apple,MacBook Air M3,5752.0,49,Los Olivos,Premium
401,Acer,Aspire 5,2224.0,22,Centro de Lima,Oficina
402,MSI,Modern 15,2990.0,56,Arequipa,Profesional
403,Apple,MacBook Air M3,5638.0,26,Miraflores,Premium
404,Apple,MacBook Air M3,6037.0,39,San Miguel,Premium
405,MSI,Modern 15,3324.0,17,Chiclayo,Profesional
406,Dell,Inspiron 15,3161.0,31,Piura,Profesional
407,HP,15-fd,2239.0,31,Surco,Oficina
408,Dell,Inspiron 15,2901.0,5,San Isidro,Profesional
409,HP,15-fd,2078.0,10,San Isidro,Oficina
410,Acer,Nitro V 15,4228.0,27,San Isidro,Gaming
411,ASUS,Zenbook 14,4620.0,4,Piura,Gaming
412,Dell,Inspiron 15,3234.0,1,Miraflores,Profesional
413,Lenovo,ThinkPad E14,3872.0,10,Miraflores,Profesional
414,Lenovo,ThinkPad E14,3323.0,27,Piura,Profesional
415,ASUS,Vivobook 15,2761.0,46,Miraflores,Profesional
416,ASUS,Zenbook 14,4595.0,34,Trujillo,Gaming
417,Dell,Inspiron 15,3465.0,6,San Isidro,Profesional
418,MSI,Modern 15,3126.0,50,San Isidro,Profesional
419,Dell,Inspiron 15,3183.0,30,Trujillo,Profesional
420,HP,15-fd,2198.0,11,Chiclayo,Oficina
421,Apple,MacBook Air M2,5410.0,23,Arequipa,Gaming
422,Apple,MacBook Air M3,5892.0,56,Centro de Lima,Premium
423,MSI,Modern 15,2980.0,60,Arequipa,Profesional
424,Acer,Aspire 5,2670.0,7,Trujillo,Profesional
425,Acer,Nitro V 15,3812.0,53,Trujillo,Profesional
426,Acer,Nitro V 15,3944.0,56,Chiclayo,Profesional
427,Dell,Inspiron 15,3166.0,23,San Miguel,Profesional
428,ASUS,Vivobook 15,2902.0,57,San Isidro,Profesional
429,MSI,Katana 15,5258.0,33,Centro de Lima,Gaming
430,HP,Pavilion 15,3530.0,4,Los Olivos,Profesional
431,HP,15-fd,2048.0,6,San Miguel,Oficina
432,HP,Pavilion 15,3060.0,36,San Isidro,Profesional
433,Apple,MacBook Air M3,6156.0,55,Piura,Premium
434,MSI,Modern 15,2801.0,33,Arequipa,Profesional
435,ASUS,Zenbook 14,4467.0,20,Arequipa,Gaming
436,MSI,Modern 15,2852.0,40,Piura,Profesional
437,Lenovo,ThinkPad E14,3133.0,41,Piura,Profesional
438,Dell,Vostro 3520,3019.0,12,Los Olivos,Profesional
