marca,modelo,precio_soles,stock,tienda,Categoria
Acer,Aspire 5,2602,53,Los Olivos,Profesional
ASUS,Zenbook 14,4843,48,San Miguel,Gaming
Apple,MacBook Air M2,5050,18,Los Olivos,Gaming
Apple,MacBook Air M3,6322,54,Trujillo,Premium
HP,15-fd,2292,10,Piura,Oficina
Lenovo,ThinkPad E14,3975,53,Trujillo,Profesional
Apple,MacBook Air M2,4662,12,Piura,Gaming
Dell,Vostro 3520,3230,10,San Miguel,Profesional
ASUS,Zenbook 14,4384,2,Chiclayo,Gaming
MSI,Katana 15,4956,30,San Miguel,Gaming
Dell,Vostro 3520,2588,12,Miraflores,Profesional
Dell,Vostro 3520,2907,2,Chiclayo,Profesional
Acer,Aspire 5,2894,21,Chiclayo,Profesional
HP,15-fd,2258,33,San Isidro,Oficina
Apple,MacBook Air M3,6091,52,San Miguel,Premium
Dell,Vostro 3520,2826,34,Arequipa,Profesional
Lenovo,IdeaPad Slim 3,2488,37,Arequipa,Oficina
MSI,Katana 15,5609,27,Miraflores,Premium
Apple,MacBook Air M2,5471,22,Trujillo,Gaming
ASUS,Zenbook 14,4420,37,San Isidro,Gaming
MSI,Katana 15,5349,47,Centro de Lima,Gaming
HP,Pavilion 15,3515,45,Piura,Profesional
MSI,Modern 15,3034,21,Miraflores,Profesional
MSI,Modern 15,3597,55,Piura,Profesional
Acer,Nitro V 15,4006,11,Trujillo,Gaming
ASUS,Zenbook 14,4916,39,Miraflores,Gaming
Lenovo,ThinkPad E14,3808,10,Miraflores,Profesional
Apple,MacBook Air M3,6386,42,Piura,Premium
Apple,MacBook Air M3,5616,6,Surco,Premium
Lenovo,ThinkPad E14,3234,51,San Miguel,Profesional
Lenovo,ThinkPad E14,3411,48,Arequipa,Profesional
HP,Pavilion 15,3717,34,Miraflores,Profesional
Lenovo,ThinkPad E14,3332,44,Arequipa,Profesional
MSI,Katana 15,5109,56,Chiclayo,Gaming
Dell,Inspiron 15,2932,9,San Isidro,Profesional
HP,15-fd,1808,50,Surco,Oficina
Apple,MacBook Air M2,5033,27,San Miguel,Gaming
Dell,Vostro 3520,2543,35,Piura,Profesional
HP,15-fd,2578,24,Miraflores,Profesional
HP,Pavilion 15,2927,25,San Isidro,Profesional
Dell,Inspiron 15,2834,37,Chiclayo,Profesional
Lenovo,IdeaPad Slim 3,2751,22,Chiclayo,Profesional
Apple,MacBook Air M2,5090,11,Los Olivos,Gaming
Apple,MacBook Air M2,4631,1,Chiclayo,Gaming
MSI,Katana 15,5309,3,San Miguel,Gaming
Acer,Aspire 5,2131,19,Chiclayo,Oficina
HP,15-fd,2480,14,Miraflores,Oficina
MSI,Modern 15,3373,15,San Isidro,Profesional
MSI,Katana 15,5734,5,Arequipa,Premium
Dell,Vostro 3520,2902,15,Piura,Profesional
Lenovo,ThinkPad E14,3372,10,Surco,Profesional
MSI,Modern 15,3494,11,Centro de Lima,Profesional
ASUS,Vivobook 15,2633,6,Centro de Lima,Profesional
ASUS,Vivobook 15,2602,56,Arequipa,Profesional
HP,Pavilion 15,2998,14,Chiclayo,Profesional
ASUS,Zenbook 14,4511,34,Los Olivos,Gaming
ASUS,Zenbook 14,4520,42,Arequipa,Gaming
Lenovo,ThinkPad E14,3234,59,Trujillo,Profesional
Lenovo,ThinkPad E14,3407,12,Miraflores,Profesional
ASUS,Zenbook 14,4791,59,Piura,Gaming
HP,Pavilion 15,3245,45,Miraflores,Profesional
MSI,Katana 15,5592,35,Miraflores,Premium
MSI,Katana 15,5364,34,Los Olivos,Gaming
Dell,Inspiron 15,3302,8,Chiclayo,Profesional
HP,15-fd,2504,9,Los Olivos,Profesional
Lenovo,IdeaPad Slim 3,3053,29,Miraflores,Profesional
Dell,Inspiron 15,3322,41,Miraflores,Profesional
ASUS,Vivobook 15,2954,39,Centro de Lima,Profesional
Apple,MacBook Air M3,5777,44,Piura,Premium
Dell,Inspiron 15,3306,20,Trujillo,Profesional
HP,15-fd,2266,29,San Isidro,Oficina
MSI,Modern 15,3191,4,San Isidro,Profesional
Apple,MacBook Air M3,6242,46,San Miguel,Premium
Dell,Vostro 3520,3057,14,Los Olivos,Profesional
Apple,MacBook Air M3,5890,59,San Isidro,Premium
MSI,Modern 15,3277,31,Los Olivos,Profesional
Lenovo,IdeaPad Slim 3,2877,34,Miraflores,Profesional
ASUS,Zenbook 14,4804,47,Trujillo,Gaming
Lenovo,IdeaPad Slim 3,3127,29,Surco,Profesional
MSI,Modern 15,3663,58,San Isidro,Profesional
Dell,Inspiron 15,2861,12,San Miguel,Profesional
Acer,Aspire 5,2447,45,Chiclayo,Oficina
ASUS,Zenbook 14,4594,43,Centro de Lima,Gaming
Lenovo,IdeaPad Slim 3,2302,4,San Isidro,Oficina
Apple,MacBook Air M3,5779,14,Arequipa,Premium
ASUS,Zenbook 14,4637,20,Los Olivos,Gaming
HP,Pavilion 15,3736,42,San Miguel,Profesional
HP,Pavilion 15,3679,19,Chiclayo,Profesional
MSI,Modern 15,2947,57,San Miguel,Profesional
MSI,Modern 15,3215,18,Piura,Profesional
HP,15-fd,2581,44,Miraflores,Profesional
Dell,Inspiron 15,2727,58,Piura,Profesional
Dell,Inspiron 15,3463,42,Los Olivos,Profesional
Apple,MacBook Air M2,5341,14,San Isidro,Gaming
MSI,Modern 15,2945,6,Trujillo,Profesional
ASUS,Zenbook 14,5008,6,Surco,Gaming
HP,Pavilion 15,3284,1,Piura,Profesional
ASUS,Zenbook 14,4567,3,Arequipa,Gaming
HP,Pavilion 15,3314,57,Piura,Profesional
HP,Pavilion 15,3590,23,San Isidro,Profesional
MSI,Modern 15,3618,41,Trujillo,Profesional
MSI,Modern 15,2907,3,San Miguel,Profesional
Apple,MacBook Air M2,5425,54,Los Olivos,Gaming
Apple,MacBook Air M2,5048,53,Piura,Gaming
Apple,MacBook Air M2,4744,17,San Miguel,Gaming
Apple,MacBook Air M2,5039,54,Centro de Lima,Gaming
ASUS,Zenbook 14,4878,57,Centro de Lima,Gaming
Acer,Nitro V 15,3868,10,Miraflores,Profesional
MSI,Modern 15,3125,1,Surco,Profesional
MSI,Katana 15,5495,9,Piura,Gaming
HP,Pavilion 15,3217,38,Miraflores,Profesional
Dell,Vostro 3520,2552,1,Arequipa,Profesional
Dell,Inspiron 15,3334,14,Los Olivos,Profesional
Dell,Vostro 3520,2449,32,Surco,Oficina
Dell,Vostro 3520,2941,47,Surco,Profesional
Acer,Nitro V 15,3981,26,Trujillo,Profesional
Dell,Vostro 3520,3187,34,Chiclayo,Profesional
Dell,Inspiron 15,3470,50,Piura,Profesional
Apple,MacBook Air M2,5364,60,Arequipa,Gaming
ASUS,Vivobook 15,2741,33,Surco,Profesional
Apple,MacBook Air M3,6096,18,Miraflores,Premium
Lenovo,ThinkPad E14,3553,25,San Isidro,Profesional
MSI,Katana 15,5464,57,Centro de Lima,Gaming
ASUS,Vivobook 15,2448,38,Surco,Oficina
Dell,Vostro 3520,2794,42,Arequipa,Profesional
MSI,Katana 15,5167,45,Piura,Gaming
Apple,MacBook Air M2,5069,1,San Isidro,Gaming
MSI,Katana 15,5532,14,Centro de Lima,Premium
Acer,Nitro V 15,4391,47,Los Olivos,Gaming
MSI,Modern 15,3338,35,Trujillo,Profesional
ASUS,Zenbook 14,4534,47,Arequipa,Gaming
Dell,Vostro 3520,2434,15,Trujillo,Oficina
Lenovo,ThinkPad E14,3932,29,Surco,Profesional
HP,15-fd,2191,43,Chiclayo,Oficina
Acer,Nitro V 15,3889,4,Trujillo,Profesional
MSI,Katana 15,5186,32,San Miguel,Gaming
Dell,Vostro 3520,2782,59,Arequipa,Profesional
HP,15-fd,1938,49,Arequipa,Oficina
HP,15-fd,2007,14,Arequipa,Oficina
Apple,MacBook Air M3,6137,46,San Isidro,Premium
Dell,Vostro 3520,2868,11,Centro de Lima,Profesional
Lenovo,IdeaPad Slim 3,2475,21,Surco,Oficina
HP,Pavilion 15,3624,22,Surco,Profesional
Acer,Aspire 5,2382,44,San Miguel,Oficina
MSI,Katana 15,5514,2,Arequipa,Premium
Dell,Inspiron 15,3248,31,Piura,Profesional
Apple,MacBook Air M2,4672,26,Piura,Gaming
HP,Pavilion 15,3567,16,San Miguel,Profesional
Acer,Aspire 5,2759,26,Miraflores,Profesional
Apple,MacBook Air M3,5957,18,San Miguel,Premium
Dell,Vostro 3520,3018,34,Surco,Profesional
MSI,Modern 15,3322,18,Arequipa,Profesional
Lenovo,IdeaPad Slim 3,2870,16,Centro de Lima,Profesional
Acer,Nitro V 15,4401,4,San Miguel,Gaming
Acer,Nitro V 15,4069,27,Miraflores,Gaming
Dell,Inspiron 15,3091,30,Centro de Lima,Profesional
Dell,Vostro 3520,3056,47,Surco,Profesional
HP,Pavilion 15,3301,51,Trujillo,Profesional
Lenovo,ThinkPad E14,3128,5,San Isidro,Profesional
ASUS,Zenbook 14,4270,15,Chiclayo,Gaming
Dell,Vostro 3520,3056,41,Los Olivos,Profesional
HP,15-fd,1859,8,Arequipa,Oficina
Apple,MacBook Air M2,4893,15,Trujillo,Gaming
Lenovo,ThinkPad E14,3163,58,Chiclayo,Profesional
HP,15-fd,1831,30,Piura,Oficina
Lenovo,IdeaPad Slim 3,2538,53,San Miguel,Profesional
Acer,Aspire 5,2143,27,Trujillo,Oficina
HP,Pavilion 15,3432,19,Piura,Profesional
HP,Pavilion 15,3691,56,Arequipa,Profesional
Dell,Inspiron 15,3073,50,Chiclayo,Profesional
Lenovo,IdeaPad Slim 3,2926,22,Trujillo,Profesional
Dell,Inspiron 15,2708,12,San Miguel,Profesional
Lenovo,IdeaPad Slim 3,2457,50,San Miguel,Oficina
Dell,Inspiron 15,2713,54,Centro de Lima,Profesional
ASUS,Vivobook 15,2903,54,Piura,Profesional
Apple,MacBook Air M3,6359,60,Los Olivos,Premium
HP,Pavilion 15,3299,40,Los Olivos,Profesional
Dell,Vostro 3520,2808,7,Chiclayo,Profesional
Acer,Aspire 5,2363,5,Arequipa,Oficina
MSI,Modern 15,3089,8,Piura,Profesional
HP,15-fd,1964,35,San Isidro,Oficina
Dell,Vostro 3520,2964,50,San Miguel,Profesional
Dell,Inspiron 15,2911,54,Arequipa,Profesional
Acer,Nitro V 15,4170,30,San Miguel,Gaming
MSI,Katana 15,5288,44,Miraflores,Gaming
Acer,Aspire 5,2268,9,Trujillo,Oficina
Lenovo,IdeaPad Slim 3,2653,56,Piura,Profesional
ASUS,Vivobook 15,3085,23,Piura,Profesional
Apple,MacBook Air M2,4872,39,Piura,Gaming
Dell,Vostro 3520,3196,18,Miraflores,Profesional
MSI,Modern 15,3122,20,Los Olivos,Profesional
MSI,Katana 15,5298,23,Trujillo,Gaming
HP,15-fd,2554,60,Surco,Profesional
HP,Pavilion 15,3554,8,San Isidro,Profesional
Lenovo,ThinkPad E14,3277,1,Los Olivos,Profesional
HP,15-fd,2377,2,San Miguel,Oficina
MSI,Katana 15,5223,21,Arequipa,Gaming
Dell,Vostro 3520,2454,13,Miraflores,Oficina
Acer,Aspire 5,2960,47,San Isidro,Profesional
MSI,Modern 15,3111,31,Centro de Lima,Profesional
Acer,Aspire 5,2959,9,Miraflores,Profesional
Acer,Aspire 5,2854,50,Surco,Profesional
Apple,MacBook Air M2,4601,49,Piura,Gaming
HP,Pavilion 15,3506,28,Trujillo,Profesional
Dell,Inspiron 15,2629,49,Miraflores,Profesional
Dell,Vostro 3520,3217,12,Los Olivos,Profesional
HP,15-fd,2359,1,Centro de Lima,Oficina
Apple,MacBook Air M3,5852,20,Trujillo,Premium
Dell,Vostro 3520,2936,45,San Isidro,Profesional
HP,15-fd,2138,53,Piura,Oficina
MSI,Modern 15,3019,37,San Isidro,Profesional
ASUS,Zenbook 14,4245,39,Los Olivos,Gaming
ASUS,Vivobook 15,3026,52,Surco,Profesional
ASUS,Zenbook 14,4684,56,Centro de Lima,Gaming
Acer,Aspire 5,2806,53,San Miguel,Profesional
Apple,MacBook Air M3,6435,12,Piura,Premium
HP,Pavilion 15,2918,46,Piura,Profesional
Lenovo,ThinkPad E14,3314,6,Piura,Profesional
HP,Pavilion 15,3344,46,Los Olivos,Profesional
ASUS,Vivobook 15,2458,17,Surco,Oficina
Lenovo,ThinkPad E14,3219,26,Los Olivos,Profesional
MSI,Katana 15,5219,54,Piura,Gaming
ASUS,Vivobook 15,2461,45,San Isidro,Oficina
Apple,MacBook Air M2,5022,15,Los Olivos,Gaming
MSI,Katana 15,5693,1,San Isidro,Premium
Dell,Inspiron 15,2795,56,Centro de Lima,Profesional
ASUS,Vivobook 15,2639,10,San Miguel,Profesional
Lenovo,ThinkPad E14,3633,31,Trujillo,Profesional
Dell,Vostro 3520,2996,1,San Miguel,Profesional
HP,Pavilion 15,3000,9,Piura,Profesional
Apple,MacBook Air M3,6215,33,Trujillo,Premium
Acer,Aspire 5,2744,52,Chiclayo,Profesional
HP,15-fd,2252,10,Surco,Oficina
Dell,Inspiron 15,3429,49,Los Olivos,Profesional
MSI,Katana 15,5294,35,San Miguel,Gaming
Acer,Nitro V 15,4218,27,Miraflores,Gaming
ASUS,Zenbook 14,4722,23,Arequipa,Gaming
Apple,MacBook Air M2,4852,1,Arequipa,Gaming
MSI,Modern 15,3113,2,San Isidro,Profesional
ASUS,Zenbook 14,5052,18,Los Olivos,Gaming
HP,15-fd,2400,4,Piura,Oficina
MSI,Modern 15,3502,42,San Miguel,Profesional
Apple,MacBook Air M3,5720,23,Centro de Lima,Premium
MSI,Modern 15,3675,31,Centro de Lima,Profesional
MSI,Katana 15,5139,21,Los Olivos,Gaming
Dell,Inspiron 15,3042,56,Miraflores,Profesional
Apple,MacBook Air M2,4624,13,Miraflores,Gaming
ASUS,Vivobook 15,2522,4,Arequipa,Profesional
ASUS,Zenbook 14,4431,10,Arequipa,Gaming
Acer,Nitro V 15,3802,17,Trujillo,Profesional
Dell,Inspiron 15,3400,36,Chiclayo,Profesional
MSI,Modern 15,3551,11,Centro de Lima,Profesional
Acer,Aspire 5,2261,10,Surco,Oficina
Apple,MacBook Air M3,5744,45,Arequipa,Premium
ASUS,Vivobook 15,2256,5,Surco,Oficina
Apple,MacBook Air M2,5083,30,Trujillo,Gaming
MSI,Modern 15,3023,4,Centro de Lima,Profesional
Dell,Vostro 3520,2587,48,Piura,Profesional
Acer,Nitro V 15,4055,22,San Miguel,Gaming
Acer,Nitro V 15,4247,51,Chiclayo,Gaming
Acer,Nitro V 15,4255,10,Los Olivos,Gaming
Apple,MacBook Air M2,4726,40,Centro de Lima,Gaming
Dell,Vostro 3520,2657,56,Los Olivos,Profesional
MSI,Katana 15,4948,10,Trujillo,Gaming
MSI,Katana 15,5498,29,Miraflores,Gaming
Lenovo,ThinkPad E14,3556,3,Arequipa,Profesional
ASUS,Zenbook 14,4354,21,Arequipa,Gaming
Apple,MacBook Air M3,6052,55,Piura,Premium
Acer,Nitro V 15,4307,3,San Isidro,Gaming
ASUS,Zenbook 14,4603,43,Centro de Lima,Gaming
MSI,Modern 15,3482,19,Surco,Profesional
ASUS,Zenbook 14,4716,43,Centro de Lima,Gaming
ASUS,Vivobook 15,2538,59,Centro de Lima,Profesional
HP,Pavilion 15,3193,2,Chiclayo,Profesional
Apple,MacBook Air M2,4838,8,Miraflores,Gaming
Apple,MacBook Air M2,5306,7,Centro de Lima,Gaming
Acer,Aspire 5,2797,13,San Isidro,Profesional
Lenovo,IdeaPad Slim 3,2736,8,Chiclayo,Profesional
Acer,Nitro V 15,3721,57,San Isidro,Profesional
HP,Pavilion 15,3607,33,Piura,Profesional
Lenovo,ThinkPad E14,3185,55,Los Olivos,Profesional
Dell,Vostro 3520,2456,41,Trujillo,Oficina
MSI,Modern 15,2826,42,Surco,Profesional
ASUS,Zenbook 14,4965,38,Centro de Lima,Gaming
MSI,Katana 15,5418,53,Surco,Gaming
Acer,Aspire 5,2331,48,Piura,Oficina
Lenovo,IdeaPad Slim 3,3141,42,Trujillo,Profesional
ASUS,Vivobook 15,2538,37,Los Olivos,Profesional
MSI,Katana 15,5249,5,San Isidro,Gaming
ASUS,Zenbook 14,4527,23,Surco,Gaming
HP,15-fd,2497,18,Trujillo,Oficina
Dell,Inspiron 15,3442,56,San Isidro,Profesional
Lenovo,ThinkPad E14,3704,22,Trujillo,Profesional
HP,Pavilion 15,3633,41,Centro de Lima,Profesional
Dell,Inspiron 15,3207,4,Trujillo,Profesional
Lenovo,IdeaPad Slim 3,2404,41,San Miguel,Oficina
MSI,Katana 15,5570,14,San Isidro,Premium
HP,15-fd,1858,13,San Miguel,Oficina
HP,Pavilion 15,3311,4,San Miguel,Profesional
Acer,Aspire 5,2662,35,Centro de Lima,Profesional
Apple,MacBook Air M3,6194,50,Surco,Premium
HP,Pavilion 15,3345,33,Chiclayo,Profesional
Acer,Aspire 5,2609,30,Los Olivos,Profesional
Acer,Aspire 5,2415,21,Centro de Lima,Oficina
Acer,Aspire 5,2199,48,San Isidro,Oficina
Lenovo,ThinkPad E14,3544,26,Surco,Profesional
ASUS,Vivobook 15,2315,44,Piura,Oficina
Apple,MacBook Air M2,5043,43,Centro de Lima,Gaming
Dell,Vostro 3520,2700,7,San Isidro,Profesional
Acer,Aspire 5,2470,35,Miraflores,Oficina
ASUS,Zenbook 14,4572,37,Centro de Lima,Gaming
Apple,MacBook Air M2,4946,30,Miraflores,Gaming
Dell,Inspiron 15,3215,53,Centro de Lima,Profesional
Apple,MacBook Air M3,5769,27,Piura,Premium
Apple,MacBook Air M2,5408,46,Surco,Gaming
MSI,Katana 15,5454,15,Chiclayo,Gaming
Acer,Nitro V 15,4320,2,Chiclayo,Gaming
ASUS,Zenbook 14,4400,11,San Miguel,Gaming
HP,Pavilion 15,2975,7,Centro de Lima,Profesional
Lenovo,IdeaPad Slim 3,2358,41,Arequipa,Oficina
HP,15-fd,2463,9,San Isidro,Oficina
HP,Pavilion 15,3014,29,San Miguel,Profesional
HP,15-fd,2548,58,Trujillo,Profesional
Dell,Inspiron 15,2619,58,San Miguel,Profesional
Apple,MacBook Air M3,5752,49,Los Olivos,Premium
Acer,Aspire 5,2224,22,Centro de Lima,Oficina
MSI,Modern 15,2990,56,Arequipa,Profesional
Apple,MacBook Air M3,5638,26,Miraflores,Premium
Apple,MacBook Air M3,6037,39,San Miguel,Premium
MSI,Modern 15,3324,17,Chiclayo,Profesional
Dell,Inspiron 15,3161,31,Piura,Profesional
HP,15-fd,2239,31,Surco,Oficina
Dell,Inspiron 15,2901,5,San Isidro,Profesional
HP,15-fd,2078,10,San Isidro,Oficina
Acer,Nitro V 15,4228,27,San Isidro,Gaming
ASUS,Zenbook 14,4620,4,Piura,Gaming
Dell,Inspiron 15,3234,1,Miraflores,Profesional
Lenovo,ThinkPad E14,3872,10,Miraflores,Profesional
Lenovo,ThinkPad E14,3323,27,Piura,Profesional
ASUS,Vivobook 15,2761,46,Miraflores,Profesional
ASUS,Zenbook 14,4595,34,Trujillo,Gaming
Dell,Inspiron 15,3465,6,San Isidro,Profesional
MSI,Modern 15,3126,50,San Isidro,Profesional
Dell,Inspiron 15,3183,30,Trujillo,Profesional
HP,15-fd,2198,11,Chiclayo,Oficina
Apple,MacBook Air M2,5410,23,Arequipa,Gaming
Apple,MacBook Air M3,5892,56,Centro de Lima,Premium
MSI,Modern 15,2980,60,Arequipa,Profesional
Acer,Aspire 5,2670,7,Trujillo,Profesional
Acer,Nitro V 15,3812,53,Trujillo,Profesional
Acer,Nitro V 15,3944,56,Chiclayo,Profesional
Dell,Inspiron 15,3166,23,San Miguel,Profesional
ASUS,Vivobook 15,2902,57,San Isidro,Profesional
MSI,Katana 15,5258,33,Centro de Lima,Gaming
HP,Pavilion 15,3530,4,Los Olivos,Profesional
HP,15-fd,2048,6,San Miguel,Oficina
HP,Pavilion 15,3060,36,San Isidro,Profesional
Apple,MacBook Air M3,6156,55,Piura,Premium
MSI,Modern 15,2801,33,Arequipa,Profesional
ASUS,Zenbook 14,4467,20,Arequipa,Gaming
MSI,Modern 15,2852,40,Piura,Profesional
Lenovo,ThinkPad E14,3133,41,Piura,Profesional
Dell,Vostro 3520,3019,12,Los Olivos,Profesional
HP,15-fd,2463,36,Trujillo,Oficina
ASUS,Zenbook 14,4291,26,Miraflores,Gaming
Dell,Vostro 3520,3020,33,Trujillo,Profesional
Apple,MacBook Air M2,4747,1,Chiclayo,Gaming
Lenovo,ThinkPad E14,3113,31,Centro de Lima,Profesional
Acer,Aspire 5,2599,14,Miraflores,Profesional
Acer,Aspire 5,2107,28,Centro de Lima,Oficina
MSI,Modern 15,3530,29,San Miguel,Profesional
MSI,Katana 15,5230,24,Arequipa,Gaming
Dell,Inspiron 15,2979,30,Arequipa,Profesional
Acer,Aspire 5,2209,31,San Miguel,Oficina
Dell,Vostro 3520,2533,42,Trujillo,Profesional
ASUS,Zenbook 14,4300,18,Miraflores,Gaming
Acer,Nitro V 15,4281,37,Chiclayo,Gaming
Lenovo,IdeaPad Slim 3,2509,39,Chiclayo,Profesional
Lenovo,IdeaPad Slim 3,2535,18,Trujillo,Profesional
Apple,MacBook Air M2,5160,39,Centro de Lima,Gaming
HP,15-fd,2148,44,Piura,Oficina
Lenovo,IdeaPad Slim 3,3031,32,Los Olivos,Profesional
Dell,Vostro 3520,2931,46,Centro de Lima,Profesional
ASUS,Vivobook 15,2812,58,Surco,Profesional
Dell,Vostro 3520,2965,16,San Miguel,Profesional
Acer,Aspire 5,2882,12,Miraflores,Profesional
MSI,Katana 15,5633,52,Surco,Premium
Dell,Vostro 3520,2663,57,Piura,Profesional
ASUS,Zenbook 14,4365,51,Arequipa,Gaming
Lenovo,IdeaPad Slim 3,2302,40,Los Olivos,Oficina
HP,15-fd,2317,11,Trujillo,Oficina
MSI,Katana 15,4923,37,San Miguel,Gaming
Apple,MacBook Air M3,6204,57,Trujillo,Premium
Dell,Vostro 3520,2701,48,Miraflores,Profesional
Apple,MacBook Air M3,5851,42,Los Olivos,Premium
Dell,Inspiron 15,2727,10,Miraflores,Profesional
Acer,Nitro V 15,3939,38,Piura,Profesional
Dell,Inspiron 15,2990,32,Centro de Lima,Profesional
HP,Pavilion 15,2940,48,Surco,Profesional
MSI,Katana 15,5527,43,San Isidro,Premium
Acer,Aspire 5,2319,23,Piura,Oficina
HP,15-fd,2508,55,Arequipa,Profesional
Apple,MacBook Air M3,5915,12,San Isidro,Premium
Dell,Vostro 3520,2906,7,Piura,Profesional
MSI,Katana 15,5152,16,Arequipa,Gaming
Apple,MacBook Air M2,5388,41,San Miguel,Gaming
Dell,Vostro 3520,3140,1,Chiclayo,Profesional
MSI,Katana 15,5436,27,Arequipa,Gaming
MSI,Modern 15,3482,5,Centro de Lima,Profesional
Lenovo,ThinkPad E14,3492,49,San Miguel,Profesional
HP,Pavilion 15,3143,8,Miraflores,Profesional
Apple,MacBook Air M2,5125,33,Piura,Gaming
HP,Pavilion 15,3258,4,Piura,Profesional
Lenovo,IdeaPad Slim 3,2406,24,Centro de Lima,Oficina
Acer,Nitro V 15,3882,20,Arequipa,Profesional
Dell,Vostro 3520,2499,25,Piura,Oficina
Lenovo,ThinkPad E14,3419,37,Chiclayo,Profesional
HP,15-fd,1989,56,Arequipa,Oficina
MSI,Modern 15,3195,24,Miraflores,Profesional
HP,15-fd,2337,40,Piura,Oficina
MSI,Modern 15,3370,2,Miraflores,Profesional
ASUS,Zenbook 14,4962,37,Miraflores,Gaming
MSI,Modern 15,3593,19,Arequipa,Profesional
Lenovo,IdeaPad Slim 3,2419,40,Arequipa,Oficina
Acer,Nitro V 15,3858,45,San Isidro,Profesional
Dell,Vostro 3520,2494,39,San Isidro,Oficina
